Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2003
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,7.0,6.8,7.6
Alaska,5.8,4.5,7.4
Arkansas,7,6.2,7.8
California,7.5,6.6,8.5
Colorado,5,4.3,5.7
Arizona,6.1,5.2,7.3
Connecticut,5.6,5,6.3
Delaware,7.4,6.5,8.4
District of Columbia,8.8,7.3,10.4
Florida,7.7,6.7,8.7
Georgia,8.2,7.5,9
Hawaii,7.2,6.3,8.2
Idaho,6.3,5.6,7.2
Illinois,7.4,6.6,8.2
Indiana,7.6,6.9,8.3
Iowa,6.1,5.5,6.9
Kansas,5.8,5.2,6.5
Kentucky,8.3,7.5,9.1
Maine,6.8,5.9,7.9
Maryland,7.1,6.2,8.1
Massachusetts,5.9,5.3,6.6
Michigan,7.7,6.9,8.7
Louisiana,8.5,7.7,9.3
Minnesota,5.5,4.8,6.2
Mississippi,10.9,9.9,11.9
Nevada,6.4,5.3,7.8
New Hampshire,5.5,4.9,6.1
Alabama,8.4,7.5,9.5
New Jersey,6.8,6.3,7.4
Nebraska,6.1,5.4,6.8
Missouri,6.6,5.8,7.5
New York,7.2,6.5,8.1
New Mexico,5.6,5,6.2
North Carolina,8.1,7.4,8.9
North Dakota,5.6,4.9,6.5
Ohio,8.5,7.5,9.7
Montana,5.1,4.4,6
Oklahoma,6.9,6.4,7.5
Rhode Island,6.5,5.7,7.4
South Carolina,9.1,8.3,10
South Dakota,6.6,6,7.3
Pennsylvania,7.4,6.5,8.3
Oregon,6,5.3,6.8
Texas,8.4,7.7,9.2
Tennessee,9.2,8,10.5
Utah,6.4,5.5,7.4
Vermont,5.6,4.9,6.3
Virginia,7.2,6.4,8.1
Washington,6.6,6.2,7
West Virginia,8.9,7.9,9.9
Wisconsin,5.8,5,6.6
Wyoming,5.6,5,6.4
Guam,11.4,8.8,14.6
Puerto Rico,11,10,12.1
Virgin Islands of the U.S.,10.3,8.5,12.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
