Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 1997
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,4.7,4.5,5.3
Alaska,3.8,2.6,5.5
Arkansas,4.8,3.9,5.9
California,5.9,5.1,6.9
Arizona,3.1,2.1,4.4
Colorado,4.2,3.2,5.4
Connecticut,5.1,4.1,6.3
Delaware,6.5,5.5,7.6
Florida,5.1,4.4,5.9
Georgia,4.5,3.7,5.6
Hawaii,5,4,6.2
Idaho,4,3.4,4.6
District of Columbia,4.7,3.6,6.1
Illinois,6.9,5.9,8.1
Indiana,5.1,4.2,6.2
Iowa,4.3,3.6,5
Kansas,2.9,2.2,3.7
Kentucky,5.3,4.6,6.1
Maine,4.7,3.8,5.8
Maryland,6.2,5.3,7.2
Massachusetts,4.7,3.6,5.9
Michigan,5.8,4.9,6.8
Louisiana,5.7,4.6,7.1
Minnesota,3.9,3.4,4.5
Mississippi,6.1,4.9,7.5
Nevada,4.1,2.8,6
New Hampshire,4.1,3.1,5.3
Alabama,6.6,5.6,7.8
Missouri,4.5,3.6,5.7
New Jersey,5.1,4.2,6.1
Nebraska,4,3.2,4.9
New York,4.7,4,5.6
New Mexico,5.2,4.2,6.4
North Carolina,5,4.3,5.8
North Dakota,3.4,2.6,4.4
Ohio,4.7,3.9,5.7
Montana,3,2.3,3.9
Oklahoma,5.9,4.8,7.1
Pennsylvania,4.8,4.1,5.6
Rhode Island,4.5,3.6,5.6
South Carolina,4.8,4,5.9
South Dakota,3.6,2.8,4.6
Oregon,4.6,3.8,5.4
Tennessee,4.3,3.6,5.1
Utah,4.7,3.7,6
Texas,6.4,5.3,7.5
Vermont,4.7,3.7,5.9
Virginia,4.5,3.8,5.4
Washington,4.1,3.5,4.9
West Virginia,5.9,5,7
Wisconsin,4.7,3.6,6.2
Wyoming,3.2,2.5,4
Guam,No Data,No Data,No Data
Puerto Rico,11.1,9.9,12.6
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
