Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 1994
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,4.4,4.3,4.7
Alaska,4.4,3,6.4
Arkansas,5.3,4.3,6.7
California,4.2,3.6,5
Arizona,3.6,2.5,5.1
Colorado,3.8,2.8,5
Connecticut,4.8,3.8,5.9
Delaware,5.8,4.8,7
Florida,4.5,3.9,5.3
Georgia,5.2,4.2,6.4
Hawaii,4.3,3.3,5.7
Idaho,4.3,3.4,5.4
District of Columbia,4.5,3.4,6
Indiana,4.5,3.7,5.5
Illinois,5.4,4.4,6.6
Iowa,3.8,3,4.6
Kansas,4.2,3.1,5.5
Kentucky,4.3,3.5,5.2
Maryland,5.4,4.7,6.2
Massachusetts,4.2,3.3,5.4
Michigan,4.9,4,5.8
Louisiana,5.3,4.2,6.7
Minnesota,4,3.4,4.7
Mississippi,5.8,4.7,7.1
Maine,3.6,2.8,4.8
Nevada,4.1,3.1,5.3
New Hampshire,4.9,3.8,6.3
Alabama,3.5,2.7,4.7
Missouri,5.7,4.6,7
New Jersey,4.1,3,5.7
Nebraska,4.7,3.8,5.9
New York,3.9,3.2,4.9
New Mexico,5.3,4.1,6.8
North Carolina,4.5,3.7,5.5
North Dakota,3.6,2.8,4.5
Ohio,4.8,3.6,6.4
Montana,2.3,1.7,3.3
Oklahoma,2.8,2.1,3.6
Pennsylvania,5,4.3,5.8
Rhode Island,No Data,No Data,No Data
South Carolina,6.2,5.1,7.5
South Dakota,4.1,3.2,5.3
Oregon,3.8,3.1,4.7
Tennessee,5.6,4.8,6.5
Texas,5.8,4.5,7.4
Vermont,4.2,3.5,5.1
Virginia,5.1,4,6.4
Washington,4,3.4,4.8
West Virginia,5,4.2,5.9
Wisconsin,3.2,2.3,4.3
Wyoming,3.7,2.7,4.9
Guam,No Data,No Data,No Data
Utah,4.5,3.5,5.7
Puerto Rico,No Data,No Data,No Data
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
