Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2007
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,7.8,7.6,8.5
Alabama,9.7,9,10.6
Alaska,6.5,5.2,8.1
Arkansas,8.8,8,9.6
California,7.8,7.1,8.6
Colorado,5.6,5.2,6.1
Arizona,8.2,7,9.6
Connecticut,6.8,6.2,7.6
Delaware,8.3,7.4,9.3
District of Columbia,8.4,7.5,9.4
Florida,7.7,7.2,8.2
Georgia,10.7,9.9,11.6
Hawaii,7.1,6.4,7.9
Idaho,7.8,7.1,8.6
Illinois,8.7,7.9,9.6
Indiana,8.1,7.4,8.9
Iowa,6.2,5.6,6.8
Kansas,7,6.4,7.6
Kentucky,9.4,8.6,10.3
Maryland,8.1,7.5,8.8
Massachusetts,7.1,6.7,7.5
Michigan,8.5,7.8,9.2
Louisiana,10,9.3,10.9
Minnesota,5.5,4.9,6.2
Maine,7.1,6.4,7.8
Mississippi,10.9,10.1,11.6
Nevada,8,7,9.2
New Hampshire,6.7,6,7.3
New Jersey,8.7,8,9.6
Nebraska,6.8,6,7.5
New York,7.8,7.1,8.5
New Mexico,7.5,6.7,8.3
Missouri,7.5,6.7,8.4
North Carolina,8.9,8.4,9.4
North Dakota,5.8,5.2,6.5
Ohio,8.9,8.4,9.5
Montana,6.1,5.5,6.8
Oklahoma,9.6,8.9,10.4
Rhode Island,6.8,6.1,7.6
South Carolina,9.2,8.5,9.8
South Dakota,6.3,5.7,6.9
Pennsylvania,7.8,7.1,8.7
Oregon,6.5,5.9,7.2
Texas,10.7,10.1,11.3
Tennessee,11.5,10.2,13
Utah,6.7,5.9,7.5
Vermont,6.5,5.7,7.4
Virginia,7.9,7.2,8.7
Washington,7,6.6,7.3
West Virginia,9.8,8.9,10.7
Wisconsin,6.1,5.5,6.7
Wyoming,6.6,6,7.3
Guam,11.1,8.4,14.5
Puerto Rico,12.3,11.3,13.4
Virgin Islands of the U.S.,9.4,8.2,10.7
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
