Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 1998
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,5.2,4.9,5.7
Alaska,3.8,2.7,5.3
Arkansas,6.2,5.3,7.2
California,5.8,5,6.7
Arizona,2.9,1.9,4.4
Colorado,4.9,3.9,6.1
Connecticut,4.4,3.6,5.4
Delaware,4.4,3.6,5.3
Florida,5.6,5,6.3
Georgia,6.3,5.3,7.6
Hawaii,5.6,4.3,7.1
Idaho,4.1,3.6,4.8
District of Columbia,7.3,5.5,9.6
Illinois,6,5.2,7
Indiana,6,5.1,7.2
Iowa,4.9,4.1,5.8
Kansas,4,3.4,4.7
Kentucky,5.4,4.7,6.2
Maine,3.4,2.7,4.4
Maryland,5.5,4.6,6.7
Massachusetts,3.8,3.2,4.6
Michigan,6.9,5.8,8.1
Louisiana,6.5,5.4,7.9
Minnesota,4.7,4.1,5.5
Mississippi,7.5,6.3,8.8
Nevada,4.4,3.4,5.8
New Hampshire,3.9,2.9,5.2
Alabama,6.8,5.8,8
Missouri,5.5,4.6,6.4
New Jersey,5.1,4.3,6.1
Nebraska,5,4.2,5.9
New York,6.1,5.1,7.3
New Mexico,5.1,4.4,5.9
North Carolina,6.4,5.5,7.6
North Dakota,4,3.1,5.1
Ohio,5.5,4.5,6.7
Montana,3.4,2.7,4.4
Oklahoma,7.6,6.6,8.7
Pennsylvania,5.3,4.6,6.2
Rhode Island,5.6,4.9,6.5
South Carolina,5.7,4.9,6.7
South Dakota,2.9,2.3,3.7
Oregon,5,4,6.2
Tennessee,5.8,4.9,7
Utah,4.8,3.8,5.9
Texas,5.7,5.1,6.4
Vermont,4.5,3.8,5.3
Virginia,4.8,4,5.7
Washington,5,4.2,5.9
West Virginia,5.8,4.9,6.9
Wisconsin,4.2,3.4,5.2
Wyoming,3.7,3,4.7
Guam,No Data,No Data,No Data
Puerto Rico,10.7,9.4,12.1
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
