Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2008
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,7.9,7.7,8.6
Alabama,10.6,9.7,11.5
Alaska,7.3,5.8,9.2
Arkansas,8.9,8.1,9.8
California,8.7,8.1,9.4
Colorado,6.1,5.6,6.7
Arizona,7.6,6.6,8.7
Connecticut,6.3,5.7,7
Delaware,7.8,6.9,8.9
District of Columbia,8.3,7.4,9.2
Florida,8.4,7.6,9.2
Georgia,10.2,9.2,11.2
Hawaii,7.7,6.9,8.6
Idaho,7,6.3,7.7
Illinois,8.2,7.4,9
Indiana,9.2,8.2,10.3
Iowa,6.4,5.8,7
Kansas,7.7,7.1,8.3
Kentucky,9.4,8.7,10.2
Maryland,8.4,7.7,9
Massachusetts,6.8,6.4,7.2
Michigan,8.6,8,9.3
Louisiana,10.2,9.4,11
Minnesota,5.7,5.1,6.4
Maine,7.4,6.7,8.1
Mississippi,10.8,10,11.7
Nevada,8.6,7.5,9.8
New Hampshire,6.8,6.2,7.5
New Jersey,7.9,7.4,8.5
Nebraska,7.3,6.7,8
New York,8,7.3,8.8
New Mexico,7.6,6.8,8.3
Missouri,8.7,7.7,9.8
North Carolina,9.1,8.6,9.7
North Dakota,7,6.3,7.9
Ohio,9.3,8.7,9.9
Montana,5.9,5.3,6.5
Oklahoma,9.5,8.8,10.2
Rhode Island,7.1,6.3,7.9
South Carolina,9.5,8.8,10.3
South Dakota,6,5.5,6.6
Pennsylvania,7.9,7.3,8.5
Oregon,6.5,5.8,7.3
Texas,10,9.3,10.8
Tennessee,10,9,11
Utah,6.9,6.2,7.6
Vermont,5.9,5.4,6.5
Virginia,7.7,7,8.5
Washington,6.8,6.4,7.2
West Virginia,10.8,9.8,11.9
Wisconsin,6.9,6.1,7.8
Wyoming,7,6.3,7.8
Guam,9.3,7.1,11.9
Puerto Rico,12.3,11.3,13.2
Virgin Islands of the U.S.,10.4,9,11.9
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
