Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 1999
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,5.6,5.3,5.9
Alaska,4.4,3.2,6
Arkansas,6.1,5.2,7.1
California,6.5,5.6,7.4
Arizona,4.3,3.3,5.6
Colorado,4.2,3.4,5.3
Connecticut,4.3,3.5,5.2
Delaware,6,5,7.3
Florida,6.1,5.4,6.8
Georgia,5.8,4.8,7
Hawaii,5.2,4.1,6.6
Idaho,4.7,4,5.4
Illinois,6.3,5.2,7.6
Indiana,6.6,5.1,8.5
District of Columbia,6.8,5.5,8.4
Iowa,4.9,4.2,5.7
Kansas,5.2,4.5,5.9
Kentucky,6.2,5.6,6.9
Maine,5.2,4.2,6.3
Maryland,6.9,6,7.9
Massachusetts,4.9,4.2,5.8
Michigan,5.4,4.6,6.5
Louisiana,6,4.9,7.3
Minnesota,4.7,4.2,5.4
Mississippi,7.9,6.8,9.2
Nevada,5.7,4.6,7.1
New Hampshire,4.2,3.2,5.6
Alabama,7.4,6.3,8.6
Missouri,5.7,4.9,6.6
New Jersey,5.2,4.3,6.3
Nebraska,4.1,3.4,4.9
New York,5.6,4.7,6.7
New Mexico,5.6,4.7,6.6
North Carolina,6.2,5.2,7.2
North Dakota,4.7,3.9,5.7
Ohio,5.8,4.8,7.1
Montana,5.6,4.6,6.9
Oklahoma,5.4,4.6,6.3
Rhode Island,5,4.3,5.9
South Carolina,6.6,5.7,7.6
South Dakota,4.7,4,5.4
Pennsylvania,5.8,5,6.7
Oregon,4.4,3.5,5.6
Texas,6.7,5.8,7.7
Tennessee,5.8,4.9,6.8
Utah,4.7,3.8,5.7
Vermont,4.3,3.6,5.1
Virginia,6.7,5.4,8.1
Washington,5.2,4.4,6.1
West Virginia,6.7,5.8,7.7
Wisconsin,5.1,4.2,6.2
Wyoming,4.6,3.8,5.5
Guam,No Data,No Data,No Data
Puerto Rico,10.4,9.3,11.6
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
