Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2001
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,6.3,6.1,6.9
Alaska,4.9,3.8,6.3
Arkansas,7.3,6.3,8.4
California,6.6,5.8,7.6
Arizona,6.1,5.1,7.2
Colorado,5,4,6.2
Connecticut,6,5.4,6.6
Delaware,6.9,6,8
District of Columbia,8.5,7.2,10.1
Florida,7.2,6.4,8
Georgia,7,6.2,7.9
Hawaii,6,5,7.2
Idaho,5.4,4.7,6.1
Illinois,6.5,5.7,7.4
Indiana,6.4,5.6,7.2
Iowa,5.3,4.6,6
Kansas,5.6,4.9,6.3
Kentucky,6.5,5.8,7.2
Maine,6.4,5.3,7.6
Maryland,7,6.1,8.1
Massachusetts,5.4,4.9,6
Michigan,7.1,6.3,8
Louisiana,7.6,6.8,8.4
Minnesota,4.3,3.7,5
Mississippi,9.2,8.1,10.4
Nevada,5.4,4.4,6.7
New Hampshire,5.4,4.7,6.2
Alabama,9.4,8.4,10.6
New Jersey,6.9,6,7.8
Nebraska,5,4.3,5.8
Missouri,6.2,5.4,7.2
New York,6.4,5.6,7.4
New Mexico,6.2,5.4,7.2
North Carolina,6.6,5.8,7.5
North Dakota,5,4.2,5.9
Ohio,7,6.1,8
Montana,5.3,4.4,6.2
Oklahoma,7.4,6.5,8.3
Rhode Island,6.2,5.4,7.1
South Carolina,7.9,7,9
South Dakota,5.8,5.2,6.5
Pennsylvania,6.2,5.4,7
Oregon,5.4,4.5,6.4
Texas,7.3,6.6,8.1
Tennessee,7.6,6.6,8.8
Utah,4.6,3.8,5.5
Vermont,5.1,4.4,5.8
Virginia,6,5.2,7
Washington,5.7,5,6.5
West Virginia,8,7.1,9.1
Wisconsin,5.4,4.6,6.2
Wyoming,4.6,3.8,5.4
Guam,11.7,8.9,15.3
Puerto Rico,10.2,9.1,11.3
Virgin Islands of the U.S.,7.3,6.1,8.6
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
