Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2004
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,6.9,6.6,7.3
Alaska,4.4,3.5,5.5
Arkansas,6.7,6,7.5
California,7.4,6.5,8.5
Colorado,4.6,4,5.3
Arizona,6.5,5.5,7.7
Connecticut,5.7,5.1,6.4
Delaware,6.9,6,7.9
District of Columbia,9,7.9,10.3
Florida,7,6.3,7.8
Georgia,7.9,7,8.8
Idaho,6.2,5.6,7
Illinois,6,5.3,6.9
Indiana,7.6,6.9,8.3
Iowa,5.9,5.3,6.6
Kansas,6.4,5.9,6.9
Kentucky,7.4,6.7,8.2
Maine,7,6.1,8
Maryland,7.3,6.4,8.4
Hawaii,No Data,No Data,No Data
Massachusetts,5.5,4.9,6.1
Michigan,7.5,6.8,8.3
Louisiana,8.3,7.6,8.9
Minnesota,5.1,4.5,5.8
Mississippi,9.5,8.7,10.4
Nevada,6.5,5.4,7.8
New Hampshire,6.4,5.8,7.2
Alabama,7.9,7,8.8
New Jersey,6.6,6.1,7.1
Nebraska,6.1,5.5,6.7
Missouri,7,6.3,7.9
New York,7.4,6.6,8.2
New Mexico,6.4,5.8,7.1
North Carolina,8.4,7.9,9
North Dakota,5.4,4.7,6.3
Ohio,7.6,6.5,8.8
Montana,5.5,4.9,6.3
Oklahoma,7.7,7.1,8.4
Rhode Island,6.9,6.1,7.7
South Carolina,8.2,7.5,8.9
South Dakota,6.2,5.6,6.9
Pennsylvania,7.2,6.5,7.9
Oregon,6.4,5.7,7.1
Texas,8.1,7.4,8.9
Tennessee,8.1,7.2,9.2
Utah,5.8,5.1,6.6
Vermont,5.2,4.7,5.7
Virginia,7.2,6.4,8
Washington,6.4,6,6.8
West Virginia,9.9,8.9,11.1
Wisconsin,5.5,4.8,6.2
Wyoming,5.8,5.2,6.6
Guam,No Data,No Data,No Data
Puerto Rico,10.6,9.6,11.7
Virgin Islands of the U.S.,9.3,8,10.8
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
