Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2002
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,6.6,6.4,7.1
Alaska,4.7,3.7,5.9
Arkansas,7.5,6.7,8.4
California,8,6.9,9.1
Colorado,4.8,4.1,5.6
Arizona,6.4,5.4,7.5
Connecticut,5.6,5,6.4
Delaware,6.9,6,7.9
District of Columbia,8.2,6.8,9.8
Florida,6.9,6.2,7.7
Georgia,7.5,6.7,8.4
Hawaii,5.5,4.9,6.3
Idaho,6.2,5.5,7
Illinois,6.9,6.1,7.7
Indiana,7.4,6.7,8.2
Iowa,6.2,5.4,7.1
Kansas,6.3,5.7,7.1
Kentucky,6.9,6.2,7.8
Maine,6.7,5.8,7.8
Maryland,7,6,8
Massachusetts,5.7,5.1,6.4
Michigan,7.9,7.2,8.7
Louisiana,7.2,6.4,8.1
Minnesota,4.9,4.3,5.6
Mississippi,8.6,7.7,9.5
Nevada,6.3,5.2,7.6
New Hampshire,6.2,5.6,7
Alabama,8.4,7.4,9.4
New Jersey,5.9,5,7
Nebraska,5.7,5,6.5
Missouri,7.1,6.2,8.1
New York,7.1,6.3,8.1
New Mexico,6.1,5.4,6.9
North Carolina,7.3,6.5,8.2
North Dakota,5.9,5.1,6.8
Ohio,7.4,6.6,8.4
Montana,5.3,4.4,6.2
Oklahoma,6.6,6,7.2
Rhode Island,5.4,4.7,6.2
South Carolina,8.4,7.4,9.4
South Dakota,6,5.3,6.8
Pennsylvania,7.3,6.8,7.9
Oregon,6.1,5.2,7.1
Texas,7.6,6.9,8.3
Tennessee,8.4,7.4,9.5
Utah,5.2,4.3,6.1
Vermont,5.7,5,6.5
Virginia,6.4,5.6,7.4
Washington,5.9,5.2,6.7
West Virginia,9.3,8.3,10.3
Wisconsin,5,4.3,5.7
Wyoming,5.6,4.9,6.5
Guam,8.6,6.3,11.7
Puerto Rico,10.7,9.7,11.8
Virgin Islands of the U.S.,9.5,8.1,11.1
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
