Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2014
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,9.1,8.9,9.8
Alaska,7.6,6.7,8.7
Arkansas,11.5,10.4,12.6
California,9.9,9.2,10.6
Colorado,6.9,6.5,7.4
Arizona,9.1,8.5,9.7
Connecticut,8,7.3,8.7
Delaware,9.7,8.7,10.8
District of Columbia,9.1,8,10.4
Florida,9.4,8.7,10.1
Georgia,11,10.2,11.9
Hawaii,8.9,8,9.9
Idaho,7,6.3,7.9
Alabama,11.8,11,12.6
Illinois,9.4,8.5,10.3
Indiana,9.7,9.2,10.4
Iowa,8.3,7.7,9
Kansas,9.5,9,10
Kentucky,11.3,10.5,12.2
Maryland,9.2,8.5,9.9
Massachusetts,8.8,8.2,9.5
Michigan,9,8.4,9.6
Louisiana,10.4,9.7,11.2
Minnesota,7.5,7,7.9
Maine,7.8,7.2,8.4
Mississippi,11.9,10.8,13.1
Nevada,8.8,7.7,10
New Hampshire,7.8,7.1,8.7
New Jersey,8.6,8,9.3
Nebraska,8.4,7.9,8.9
New York,9.2,8.4,10
New Mexico,10.4,9.6,11.3
Missouri,10,9.1,11
North Carolina,9.8,9.1,10.6
North Dakota,8,7.2,8.8
Ohio,10.3,9.6,11
Montana,7.6,6.9,8.4
Pennsylvania,9.6,9,10.3
Oklahoma,10.9,10.2,11.6
Rhode Island,8.3,7.6,9
South Carolina,10.7,10.1,11.4
South Dakota,8.2,7.2,9.3
Oregon,8,7.2,8.8
Texas,10.8,10.1,11.5
Tennessee,11.7,10.6,12.8
Vermont,6.9,6.3,7.7
Virginia,9,8.4,9.6
Washington,8.2,7.6,8.8
West Virginia,12,11.2,12.9
Utah,7.7,7.2,8.1
Wisconsin,8,7.2,8.8
Wyoming,7.8,6.9,8.7
Guam,11.6,10.1,13.3
Puerto Rico,14.2,13.3,15.1
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
