Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 1996
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,4.4,4.4,5.1
Alaska,3.8,2.5,5.9
Arkansas,4.2,3.3,5.2
California,5.4,4.6,6.3
Arizona,3.7,2.7,5
Colorado,3.3,2.5,4.3
Connecticut,4.3,3.4,5.5
Delaware,5.2,4.4,6.3
Florida,4.7,4,5.5
Georgia,5.1,4.1,6.2
Hawaii,4.8,3.9,6.1
Idaho,3.3,2.6,4.1
District of Columbia,6,4.6,7.9
Indiana,5.4,4.5,6.5
Iowa,3.9,3.3,4.6
Kansas,3.5,2.7,4.5
Kentucky,4.4,3.8,5.2
Maryland,5.4,4.7,6.3
Massachusetts,5.2,4.1,6.5
Michigan,5.8,4.9,6.9
Louisiana,6.9,5.6,8.3
Minnesota,4.5,3.8,5.2
Mississippi,6.3,5.1,7.6
Maine,4.2,3.3,5.3
Nevada,4.1,3.1,5.5
New Hampshire,4.1,3.2,5.3
Alabama,7.3,6.1,8.6
Missouri,4.2,3.2,5.3
New Jersey,4.3,3.6,5.1
Nebraska,5,4.1,6.1
New York,3.6,3,4.3
New Mexico,4.4,3.2,6.1
North Carolina,4.6,3.8,5.5
North Dakota,3,2.3,3.9
Ohio,4.9,3.9,6.2
Montana,3.6,2.8,4.5
Oklahoma,3.8,2.9,5
Pennsylvania,5.1,4.4,6
Rhode Island,4.1,3.3,5.1
South Carolina,5.6,4.5,6.9
South Dakota,4,3.2,4.9
Oregon,4.3,3.6,5.1
Tennessee,5,4.2,5.9
Utah,3.7,3,4.6
Texas,3.9,3.1,5.1
Vermont,3.9,3.2,4.8
Virginia,5.8,4.8,7.1
Washington,3.5,2.9,4.2
West Virginia,5.6,4.7,6.6
Wisconsin,4.6,3.5,5.9
Wyoming,4.3,3.5,5.2
Guam,No Data,No Data,No Data
Puerto Rico,11.6,10.1,13.3
Illinois,5.8,4.9,6.8
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
