Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 2005
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,7.3,7.0,7.8
Alaska,5.6,4.3,7.2
Arkansas,7.7,7,8.4
California,7.4,6.5,8.3
Colorado,5.1,4.6,5.7
Arizona,7.3,6.1,8.7
Connecticut,6.1,5.5,6.9
Delaware,8.3,7.3,9.4
District of Columbia,7.6,6.6,8.6
Florida,7.9,7.1,8.9
Georgia,8.9,8,9.9
Hawaii,7,6.2,7.8
Idaho,6.8,6.2,7.6
Illinois,7.9,7,8.8
Indiana,8.1,7.4,8.8
Iowa,6.3,5.7,7
Kansas,6.7,6.2,7.3
Kentucky,8.6,7.8,9.5
Maine,6.8,6,7.7
Maryland,7.1,6.5,7.8
Massachusetts,6.2,5.6,6.8
Michigan,7.9,7.4,8.4
Louisiana,9.1,8.1,10.2
Minnesota,5.7,4.9,6.6
Mississippi,9.6,8.7,10.5
Nevada,7.1,6.1,8.4
New Hampshire,6.3,5.7,7
New Jersey,7.3,6.8,7.9
Nebraska,7,6.5,7.7
New York,7.9,7.2,8.7
Missouri,7.4,6.6,8.4
New Mexico,7,6.3,7.8
Alabama,9.3,8.3,10.4
North Carolina,8.4,8,8.9
North Dakota,6.2,5.4,7.1
Ohio,7.3,6.5,8.1
Montana,5.2,4.6,5.9
Oklahoma,8.6,7.9,9.3
Rhode Island,6.2,5.4,7
South Carolina,10.1,9.4,10.8
South Dakota,6,5.5,6.6
Pennsylvania,7.5,6.9,8.1
Oregon,6.4,6,6.9
Texas,8.3,7.6,9.1
Tennessee,8.8,7.9,9.7
Utah,6.4,5.7,7.2
Vermont,5.6,5.1,6.3
Virginia,7,6.3,7.8
Washington,6.3,5.9,6.6
West Virginia,9.6,8.6,10.6
Wisconsin,6.3,5.6,7.1
Wyoming,6.3,5.7,7
Guam,No Data,No Data,No Data
Puerto Rico,12.5,11.4,13.6
Virgin Islands of the U.S.,9.1,7.8,10.6
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
