Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2009
Data downloaded on 21-September-2018
State,Number
Alabama,431459
Alaska,29607
Arizona,407339
Arkansas,218692
California,2550223
Colorado,215598
Connecticut,176551
Delaware,53717
District of Columbia,35306
Florida,1558407
Georgia,689100
Hawaii,84866
Idaho,89273
Illinois,782785
Indiana,448637
Iowa,173067
Kansas,178246
Kentucky,376381
Louisiana,367682
Maine,86784
Maryland,394569
Massachusetts,393882
Michigan,711038
Minnesota,252937
Mississippi,249716
Missouri,357585
Montana,50781
Nebraska,99800
Nevada,153206
New Hampshire,72662
New Jersey,573665
New Mexico,127795
New York,1309923
North Carolina,672074
North Dakota,37058
Ohio,876043
Oklahoma,302549
Oregon,241767
Pennsylvania,869938
Rhode Island,56827
South Carolina,353190
South Dakota,44043
Tennessee,489618
Texas,1649711
Utah,115755
Vermont,30356
Virginia,481315
Washington,386515
West Virginia,176174
Wisconsin,355064
Wyoming,28161
Guam,9565
Puerto Rico,366961
Virgin Islands of the U.S.,5798
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
