Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2004
Data downloaded on 21-September-2018
State,Number
Alabama,276551
Alaska,19060
Arizona,274838
Arkansas,145241
California,1849994
Colorado,147606
Connecticut,157157
Delaware,44361
District of Columbia,37173
Florida,1026751
Georgia,468656
Hawaii,No Data
Idaho,61531
Illinois,567756
Indiana,353343
Iowa,143411
Kansas,131398
Kentucky,239624
Louisiana,272372
Maine,76565
Maryland,292448
Massachusetts,277208
Michigan,576468
Minnesota,192744
Mississippi,203140
Missouri,313679
Montana,41583
Nebraska,81807
Nevada,108730
New Hampshire,63870
New Jersey,439925
New Mexico,89941
New York,1089576
North Carolina,535085
North Dakota,28384
Ohio,670026
Oklahoma,211684
Oregon,178937
Pennsylvania,742309
Rhode Island,59755
South Carolina,262931
South Dakota,37330
Tennessee,372386
Texas,1230926
Utah,82596
Vermont,25653
Virginia,396024
Washington,294419
West Virginia,155193
Wisconsin,231811
Wyoming,22561
Guam,No Data
Puerto Rico,299308
Virgin Islands of the U.S.,6357
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
