Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2003
Data downloaded on 21-September-2018
State,Number
Alabama,293860
Alaska,22964
Arizona,256412
Arkansas,149729
California,1875353
Colorado,161014
Connecticut,154086
Delaware,46519
District of Columbia,37106
Florida,1102740
Georgia,491538
Hawaii,72159
Idaho,61455
Illinois,686759
Indiana,356756
Iowa,148582
Kansas,120926
Kentucky,264368
Louisiana,278864
Maine,74512
Maryland,283643
Massachusetts,298879
Michigan,590124
Minnesota,208073
Mississippi,230883
Missouri,292297
Montana,38094
Nebraska,81480
Nevada,103600
New Hampshire,53927
New Jersey,458727
New Mexico,77516
New York,1073906
North Carolina,516148
North Dakota,29151
Ohio,757633
Oklahoma,188772
Oregon,168100
Pennsylvania,758765
Rhode Island,56013
South Carolina,288884
South Dakota,39931
Tennessee,412594
Texas,1273433
Utah,86952
Vermont,27478
Virginia,398688
Washington,303010
West Virginia,137795
Wisconsin,245823
Wyoming,21847
Guam,10866
Puerto Rico,309905
Virgin Islands of the U.S.,7103
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
