Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2011
Data downloaded on 21-September-2018
State,Number
Alabama,425909
Alaska,41081
Arizona,448236
Arkansas,244856
California,2219754
Colorado,253168
Connecticut,253770
Delaware,66305
District of Columbia,43862
Florida,1521069
Georgia,725178
Hawaii,87678
Idaho,106612
Illinois,937833
Indiana,495164
Iowa,189062
Kansas,202481
Kentucky,355637
Louisiana,399306
Maine,100752
Maryland,410763
Massachusetts,405661
Michigan,747599
Minnesota,292254
Mississippi,269506
Missouri,463119
Montana,60478
Nebraska,113688
Nevada,206634
New Hampshire,88717
New Jersey,585092
New Mexico,152817
New York,1534508
North Carolina,776610
North Dakota,42390
Ohio,874618
Oklahoma,312900
Oregon,274631
Pennsylvania,932184
Rhode Island,68758
South Carolina,425444
South Dakota,57782
Tennessee,538791
Texas,1855163
Utah,128616
Vermont,38059
Virginia,635060
Washington,456187
West Virginia,175091
Wisconsin,364286
Wyoming,34885
Guam,11181
Puerto Rico,378463
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
