Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2013
Data downloaded on 21-September-2018
State,Number
Alabama,514307
Alaska,39001
Arizona,532595
Arkansas,259065
California,2969755
Colorado,260336
Connecticut,233969
Delaware,80123
District of Columbia,41790
Florida,1736908
Georgia,814092
Hawaii,91981
Idaho,98977
Illinois,969566
Indiana,545794
Iowa,220791
Kansas,207955
Kentucky,359001
Louisiana,407009
Maine,102784
Maryland,451013
Massachusetts,452481
Michigan,790176
Minnesota,307608
Mississippi,289050
Missouri,445046
Montana,60592
Nebraska,128750
Nevada,203955
New Hampshire,96499
New Jersey,632785
New Mexico,169256
New York,1625044
North Carolina,860360
North Dakota,49783
Ohio,921012
Oklahoma,320537
Oregon,281477
Pennsylvania,1014880
Rhode Island,77160
South Carolina,460464
South Dakota,57835
Tennessee,614979
Texas,2132645
Utah,143882
Vermont,39122
Virginia,631194
Washington,462703
West Virginia,192017
Wisconsin,364684
Wyoming,38544
Guam,15337
Puerto Rico,418229
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
