Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2010
Data downloaded on 21-September-2018
State,Number
Alabama,465778
Alaska,26916
Arizona,444712
Arkansas,209924
California,2423314
Colorado,229338
Connecticut,195138
Delaware,58442
District of Columbia,39592
Florida,1523503
Georgia,708062
Hawaii,82577
Idaho,90587
Illinois,849838
Indiana,472130
Iowa,172948
Kansas,177836
Kentucky,329199
Louisiana,344403
Maine,90221
Maryland,397012
Massachusetts,374432
Michigan,767301
Minnesota,264229
Mississippi,268730
Missouri,422610
Montana,53222
Nebraska,102565
Nevada,164506
New Hampshire,80473
New Jersey,604390
New Mexico,126726
New York,1325799
North Carolina,698669
North Dakota,36990
Ohio,877732
Oklahoma,288756
Oregon,211307
Pennsylvania,997697
Rhode Island,63795
South Carolina,371615
South Dakota,42102
Tennessee,542393
Texas,1739837
Utah,127659
Vermont,33474
Virginia,517022
Washington,386922
West Virginia,166543
Wisconsin,308118
Wyoming,29373
Guam,11528
Puerto Rico,362102
Virgin Islands of the U.S.,6540
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
