Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 1995
Data downloaded on 21-September-2018
State,Number
Alabama,148873
Alaska,11000
Arizona,141194
Arkansas,94066
California,1287480
Colorado,95017
Connecticut,105984
Delaware,23287
District of Columbia,No Data
Florida,574306
Georgia,191656
Hawaii,28145
Idaho,28539
Illinois,468878
Indiana,212515
Iowa,112526
Kansas,90421
Kentucky,100737
Louisiana,187416
Maine,32331
Maryland,153091
Massachusetts,179347
Michigan,371016
Minnesota,102747
Mississippi,120555
Missouri,162456
Montana,17778
Nebraska,51917
Nevada,55041
New Hampshire,38052
New Jersey,253701
New Mexico,65754
New York,571729
North Carolina,243070
North Dakota,17002
Ohio,343091
Oklahoma,70170
Oregon,93664
Pennsylvania,518178
Rhode Island,34619
South Carolina,130558
South Dakota,15198
Tennessee,202302
Texas,686778
Utah,45549
Vermont,19485
Virginia,190535
Washington,122541
West Virginia,64595
Wisconsin,167215
Wyoming,10696
Guam,No Data
Puerto Rico,No Data
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
