Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2014
Data downloaded on 21-September-2018
State,Number
Alabama,483458
Alaska,41186
Arizona,510071
Arkansas,288781
California,3035373
Colorado,298301
Connecticut,261240
Delaware,80809
District of Columbia,45809
Florida,1771321
Georgia,880495
Hawaii,108365
Idaho,91799
Illinois,1001070
Indiana,535832
Iowa,225365
Kansas,224860
Kentucky,423646
Louisiana,397294
Maine,101413
Maryland,467041
Massachusetts,518771
Michigan,796253
Minnesota,340638
Mississippi,292662
Missouri,517992
Montana,70294
Nebraska,129627
Nevada,206355
New Hampshire,96862
New Jersey,669861
New Mexico,182120
New York,1554909
North Carolina,828855
North Dakota,50097
Ohio,1048918
Oklahoma,351888
Oregon,277847
Pennsylvania,1130813
Rhode Island,79210
South Carolina,449211
South Dakota,59282
Tennessee,656852
Texas,2178723
Utah,147025
Vermont,39780
Virginia,630137
Washington,485603
West Virginia,207695
Wisconsin,399523
Wyoming,37916
Guam,11413
Puerto Rico,440490
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
