Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2000
Data downloaded on 21-September-2018
State,Number
Alabama,240517
Alaska,16460
Arizona,210776
Arkansas,118510
California,1664337
Colorado,151738
Connecticut,136006
Delaware,36636
District of Columbia,29419
Florida,819663
Georgia,393965
Hawaii,46839
Idaho,43475
Illinois,560361
Indiana,267325
Iowa,130957
Kansas,114546
Kentucky,193395
Louisiana,207366
Maine,56181
Maryland,252100
Massachusetts,272401
Michigan,514285
Minnesota,172908
Mississippi,151491
Missouri,271376
Montana,31395
Nebraska,60354
Nevada,96242
New Hampshire,40222
New Jersey,362253
New Mexico,80490
New York,867776
North Carolina,375512
North Dakota,24225
Ohio,526165
Oklahoma,136347
Oregon,149589
Pennsylvania,652297
Rhode Island,45619
South Carolina,205236
South Dakota,29957
Tennessee,301585
Texas,902511
Utah,74580
Vermont,19734
Virginia,322442
Washington,237966
West Virginia,104846
Wisconsin,238020
Wyoming,16760
Guam,No Data
Puerto Rico,235163
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
