Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2002
Data downloaded on 21-September-2018
State,Number
Alabama,284630
Alaska,15402
Arizona,255497
Arkansas,158802
California,1890080
Colorado,146619
Connecticut,150827
Delaware,42659
District of Columbia,34715
Florida,968984
Georgia,437633
Hawaii,52496
Idaho,57913
Illinois,630968
Indiana,336425
Iowa,143425
Kansas,127032
Kentucky,214769
Louisiana,228506
Maine,71883
Maryland,273529
Massachusetts,279973
Michigan,584807
Minnesota,179712
Mississippi,178019
Missouri,306296
Montana,37067
Nebraska,73517
Nevada,100955
New Hampshire,58768
New Jersey,388829
New Mexico,82219
New York,1027837
North Carolina,447571
North Dakota,29274
Ohio,645506
Oklahoma,172837
Oregon,163690
Pennsylvania,747658
Rhode Island,45524
South Carolina,254935
South Dakota,34810
Tennessee,367694
Texas,1082286
Utah,68243
Vermont,27507
Virginia,340162
Washington,259778
West Virginia,142397
Wisconsin,203389
Wyoming,20540
Guam,7940
Puerto Rico,288421
Virgin Islands of the U.S.,6619
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
