Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 1997
Data downloaded on 21-September-2018
State,Number
Alabama,219560
Alaska,13960
Arizona,102289
Arkansas,95657
California,1316792
Colorado,111784
Connecticut,129046
Delaware,35176
District of Columbia,18935
Florida,645225
Georgia,224051
Hawaii,43810
Idaho,34104
Illinois,619930
Indiana,221571
Iowa,98490
Kansas,56508
Kentucky,153596
Louisiana,170318
Maine,45848
Maryland,224888
Massachusetts,220204
Michigan,409396
Minnesota,133133
Mississippi,118722
Missouri,188538
Montana,20081
Nebraska,50283
Nevada,49009
New Hampshire,34299
New Jersey,313346
New Mexico,60393
New York,663573
North Carolina,278010
North Dakota,16538
Ohio,393070
Oklahoma,145237
Oregon,113660
Pennsylvania,464405
Rhode Island,36172
South Carolina,128741
South Dakota,20165
Tennessee,174415
Texas,812409
Utah,54147
Vermont,20101
Virginia,210239
Washington,170311
West Virginia,87836
Wisconsin,179397
Wyoming,10415
Guam,No Data
Puerto Rico,270438
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
