Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2005
Data downloaded on 21-September-2018
State,Number
Alabama,331659
Alaska,20431
Arizona,311390
Arkansas,167113
California,1886718
Colorado,164012
Connecticut,171585
Delaware,53876
District of Columbia,31569
Florida,1189301
Georgia,545873
Hawaii,71413
Idaho,69321
Illinois,752157
Indiana,384102
Iowa,153492
Kansas,141033
Kentucky,281368
Louisiana,264552
Maine,76173
Maryland,298940
Massachusetts,312627
Michigan,614872
Minnesota,222778
Mississippi,206993
Missouri,336105
Montana,39759
Nebraska,95701
Nevada,124024
New Hampshire,64350
New Jersey,499657
New Mexico,101121
New York,1186575
North Carolina,546192
North Dakota,32172
Ohio,661547
Oklahoma,237337
Oregon,184156
Pennsylvania,776639
Rhode Island,53764
South Carolina,328004
South Dakota,36825
Tennessee,407217
Texas,1286206
Utah,90473
Vermont,28798
Virginia,393952
Washington,298127
West Virginia,149102
Wisconsin,273327
Wyoming,25022
Guam,No Data
Puerto Rico,355145
Virgin Islands of the U.S.,6203
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
