Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 1994
Data downloaded on 21-September-2018
State,Number
Alabama,102442
Alaska,11447
Arizona,101675
Arkansas,95224
California,855229
Colorado,86862
Connecticut,117490
Delaware,28497
District of Columbia,20112
Florida,501861
Georgia,213166
Hawaii,33479
Idaho,30815
Illinois,445831
Indiana,178121
Iowa,83677
Kansas,72409
Kentucky,116118
Louisiana,151085
Maine,34114
Maryland,179466
Massachusetts,186082
Michigan,318337
Minnesota,125514
Mississippi,104170
Missouri,225215
Montana,14666
Nebraska,54605
Nevada,33527
New Hampshire,38525
New Jersey,216322
New Mexico,51565
New York,526153
North Carolina,216572
North Dakota,16716
Ohio,385042
Oklahoma,66652
Oregon,81851
Pennsylvania,480816
Rhode Island,No Data
South Carolina,151930
South Dakota,21788
Tennessee,203391
Texas,639864
Utah,44021
Vermont,16387
Virginia,204796
Washington,141339
West Virginia,70832
Wisconsin,123316
Wyoming,11028
Guam,No Data
Puerto Rico,No Data
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
