Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2007
Data downloaded on 21-September-2018
State,Number
Alabama,358917
Alaska,29448
Arizona,381207
Arkansas,197250
California,2071612
Colorado,188986
Connecticut,195709
Delaware,57563
District of Columbia,37147
Florida,1236492
Georgia,699616
Hawaii,75485
Idaho,85126
Illinois,844941
Indiana,395589
Iowa,155333
Kansas,151937
Kentucky,318038
Louisiana,327971
Maine,82332
Maryland,349785
Massachusetts,362150
Michigan,670809
Minnesota,223841
Mississippi,244091
Missouri,357792
Montana,48919
Nebraska,94719
Nevada,149953
New Hampshire,72286
New Jersey,601155
New Mexico,114051
New York,1209052
North Carolina,604925
North Dakota,31453
Ohio,823099
Oklahoma,277113
Oregon,196347
Pennsylvania,836128
Rhode Island,59992
South Carolina,313960
South Dakota,39476
Tennessee,548088
Texas,1739992
Utah,102854
Vermont,34375
Virginia,464942
Washington,343913
West Virginia,156188
Wisconsin,272072
Wyoming,27653
Guam,9660
Puerto Rico,354338
Virgin Islands of the U.S.,6453
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
