Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2001
Data downloaded on 21-September-2018
State,Number
Alabama,320268
Alaska,17748
Arizona,230298
Arkansas,155343
California,1618772
Colorado,150336
Connecticut,161665
Delaware,41857
District of Columbia,37170
Florida,1005251
Georgia,420999
Hawaii,56264
Idaho,50078
Illinois,617233
Indiana,296212
Iowa,124232
Kansas,115070
Kentucky,202676
Louisiana,242769
Maine,63983
Maryland,272868
Massachusetts,271515
Michigan,532407
Minnesota,158625
Mississippi,189479
Missouri,274442
Montana,37053
Nebraska,65430
Nevada,87688
New Hampshire,49944
New Jersey,461508
New Mexico,80448
New York,946238
North Carolina,411723
North Dakota,23763
Ohio,604007
Oklahoma,198611
Oregon,145938
Pennsylvania,626367
Rhode Island,52099
South Carolina,240118
South Dakota,33293
Tennessee,336765
Texas,1073042
Utah,61736
Vermont,23210
Virginia,322086
Washington,252470
West Virginia,121898
Wisconsin,223129
Wyoming,15792
Guam,9007
Puerto Rico,273139
Virgin Islands of the U.S.,5218
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
