Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2012
Data downloaded on 21-September-2018
State,Number
Alabama,447357
Alaska,37410
Arizona,518034
Arkansas,249140
California,2821730
Colorado,290245
Connecticut,251753
Delaware,68077
District of Columbia,42926
Florida,1729052
Georgia,727526
Hawaii,82773
Idaho,96649
Illinois,919758
Indiana,535162
Iowa,224414
Kansas,202504
Kentucky,356559
Louisiana,424182
Maine,101561
Maryland,456050
Massachusetts,432172
Michigan,786565
Minnesota,298424
Mississippi,278183
Missouri,488771
Montana,55964
Nebraska,111739
Nevada,182041
New Hampshire,93834
New Jersey,626592
New Mexico,160741
New York,1460363
North Carolina,773679
North Dakota,46236
Ohio,1019072
Oklahoma,329465
Oregon,298795
Pennsylvania,1012082
Rhode Island,79835
South Carolina,417975
South Dakota,48562
Tennessee,587903
Texas,2028710
Utah,141704
Vermont,36031
Virginia,659995
Washington,462505
West Virginia,190575
Wisconsin,364778
Wyoming,38939
Guam,10132
Puerto Rico,459680
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
