Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 2006
Data downloaded on 21-September-2018
State,Number
Alabama,343958
Alaska,27502
Arizona,361510
Arkansas,171320
California,2198866
Colorado,182546
Connecticut,171564
Delaware,52093
District of Columbia,34824
Florida,1172565
Georgia,602646
Hawaii,79560
Idaho,71295
Illinois,777911
Indiana,376432
Iowa,165349
Kansas,150036
Kentucky,317635
Louisiana,307119
Maine,71665
Maryland,331370
Massachusetts,312999
Michigan,685776
Minnesota,223962
Mississippi,235637
Missouri,323661
Montana,45607
Nebraska,97445
Nevada,137311
New Hampshire,74834
New Jersey,492720
New Mexico,104812
New York,1115103
North Carolina,597592
North Dakota,33062
Ohio,583792
Oklahoma,267508
Oregon,186534
Pennsylvania,819428
Rhode Island,62866
South Carolina,310240
South Dakota,37738
Tennessee,485770
Texas,1314157
Utah,97597
Vermont,28954
Virginia,424023
Washington,339733
West Virginia,172723
Wisconsin,263427
Wyoming,25287
Guam,No Data
Puerto Rico,337795
Virgin Islands of the U.S.,6577
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
