Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 1996
Data downloaded on 21-September-2018
State,Number
Alabama,232518
Alaska,14979
Arizona,109866
Arkansas,82994
California,1203966
Colorado,84709
Connecticut,108532
Delaware,28969
District of Columbia,24283
Florida,577081
Georgia,221151
Hawaii,41174
Idaho,28599
Illinois,505866
Indiana,228746
Iowa,88326
Kansas,67337
Kentucky,129540
Louisiana,201206
Maine,39449
Maryland,195462
Massachusetts,244404
Michigan,402687
Minnesota,151341
Mississippi,118014
Missouri,172883
Montana,23604
Nebraska,62333
Nevada,48477
New Hampshire,33689
New Jersey,277462
New Mexico,51786
New York,499430
North Carolina,240381
North Dakota,14268
Ohio,413751
Oklahoma,90327
Oregon,103799
Pennsylvania,521812
Rhode Island,34154
South Carolina,145534
South Dakota,22375
Tennessee,199856
Texas,507662
Utah,41884
Vermont,16983
Virginia,276611
Washington,137973
West Virginia,81483
Wisconsin,178562
Wyoming,14190
Guam,No Data
Puerto Rico,276952
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
