Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 1998
Data downloaded on 21-September-2018
State,Number
Alabama,224501
Alaska,12619
Arizona,96581
Arkansas,124029
California,1300633
Colorado,134075
Connecticut,112967
Delaware,24199
District of Columbia,28973
Florida,728942
Georgia,330194
Hawaii,49914
Idaho,37105
Illinois,545266
Indiana,262196
Iowa,110812
Kansas,77429
Kentucky,162408
Louisiana,197786
Maine,33495
Maryland,207664
Massachusetts,180967
Michigan,505266
Minnesota,163835
Mississippi,149896
Missouri,232280
Montana,22876
Nebraska,62687
Nevada,57200
New Hampshire,34132
New Jersey,331107
New Mexico,60787
New York,826307
North Carolina,363135
North Dakota,19608
Ohio,472160
Oklahoma,191608
Oregon,130002
Pennsylvania,507995
Rhode Island,45194
South Carolina,159752
South Dakota,16418
Tennessee,241118
Texas,778614
Utah,59429
Vermont,19410
Virginia,228939
Washington,206879
West Virginia,86861
Wisconsin,167428
Wyoming,12659
Guam,No Data
Puerto Rico,257150
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
